class index,class name,top-1,top-5
856,threshing machine,54.0,92.0
857,throne,38.0,90.0
858,tile roof,66.0,86.0
859,toaster,32.0,68.0
860,tobacco shop,72.0,88.0
861,toilet seat,38.0,57.99999999999999
862,torch,72.0,96.0
863,totem pole,92.0,96.0
864,tow truck,57.99999999999999,90.0
865,toy store,70.0,96.0
866,tractor,70.0,96.0
867,semi-trailer truck,88.0,100.0
868,tray,18.0,54.0
869,trench coat,54.0,84.0
870,tricycle,36.0,90.0
871,trimaran,74.0,98.0
872,tripod,60.0,92.0
873,triumphal arch,90.0,96.0
874,trolleybus,96.0,100.0
875,trombone,44.0,94.0
876,hot tub,12.0,66.0
877,turnstile,62.0,90.0
878,typewriter keyboard,84.0,96.0
879,umbrella,60.0,80.0
880,unicycle,72.0,92.0
881,upright piano,70.0,92.0
882,vacuum cleaner,62.0,88.0
883,vase,64.0,78.0
884,vaulted or arched ceiling,82.0,92.0
885,velvet fabric,20.0,42.0
886,vending machine,80.0,100.0
887,vestment,52.0,86.0
888,viaduct,70.0,98.0
889,violin,56.00000000000001,92.0
890,volleyball,94.0,100.0
891,waffle iron,40.0,72.0
892,wall clock,70.0,90.0
893,wallet,50.0,86.0
894,wardrobe,44.0,86.0
895,military aircraft,92.0,100.0
896,sink,36.0,88.0
897,washing machine,68.0,82.0
898,water bottle,42.0,70.0
899,water jug,8.0,48.0
900,water tower,84.0,98.0
901,whiskey jug,60.0,78.0
902,whistle,12.0,56.00000000000001
903,hair wig,82.0,94.0
904,window screen,42.0,62.0
905,window shade,14.000000000000002,57.99999999999999
906,Windsor tie,38.0,62.0
907,wine bottle,60.0,82.0
908,airplane wing,36.0,57.99999999999999
909,wok,44.0,96.0
910,wooden spoon,40.0,70.0
911,wool,36.0,62.0
912,split-rail fence,70.0,88.0
913,shipwreck,64.0,92.0
914,sailboat,32.0,92.0
915,yurt,80.0,98.0
916,website,92.0,100.0
917,comic book,86.0,98.0
918,crossword,80.0,86.0
919,traffic or street sign,78.0,86.0
920,traffic light,46.0,88.0
921,dust jacket,80.0,92.0
922,menu,90.0,100.0
923,plate,28.000000000000004,78.0
924,guacamole,90.0,100.0
925,consomme,54.0,90.0
926,hot pot,90.0,96.0
927,trifle,96.0,100.0
928,ice cream,44.0,90.0
929,popsicle,60.0,86.0
930,baguette,42.0,80.0
931,bagel,72.0,94.0
932,pretzel,74.0,84.0
933,cheeseburger,96.0,100.0
934,hot dog,76.0,96.0
935,mashed potatoes,72.0,96.0
936,cabbage,86.0,94.0
937,broccoli,86.0,94.0
938,cauliflower,82.0,96.0
939,zucchini,57.99999999999999,90.0
940,spaghetti squash,62.0,90.0
941,acorn squash,62.0,92.0
942,butternut squash,48.0,80.0
943,cucumber,54.0,88.0
944,artichoke,70.0,92.0
945,bell pepper,76.0,94.0
946,cardoon,86.0,96.0
947,mushroom,16.0,94.0
948,Granny Smith apple,82.0,88.0
949,strawberry,52.0,78.0
950,orange,70.0,92.0
951,lemon,70.0,92.0
952,fig,74.0,96.0
953,pineapple,82.0,100.0
954,banana,60.0,82.0
955,jackfruit,92.0,98.0
956,cherimoya (custard apple),78.0,92.0
957,pomegranate,86.0,98.0
958,hay,78.0,94.0
959,carbonara,94.0,98.0
960,chocolate syrup,42.0,88.0
961,dough,50.0,86.0
962,meatloaf,78.0,90.0
963,pizza,84.0,90.0
964,pot pie,90.0,100.0
965,burrito,86.0,96.0
966,red wine,66.0,92.0
967,espresso,64.0,90.0
968,tea cup,30.0,66.0
969,eggnog,52.0,80.0
970,mountain,28.000000000000004,80.0
971,bubble,66.0,88.0
972,cliff,52.0,92.0
973,coral reef,66.0,88.0
974,geyser,100.0,100.0
975,lakeshore,42.0,76.0
976,promontory,32.0,84.0
977,sandbar,54.0,94.0
978,beach,48.0,84.0
979,valley,42.0,88.0
980,volcano,86.0,100.0
981,baseball player,70.0,100.0
982,bridegroom,84.0,96.0
983,scuba diver,94.0,98.0
984,rapeseed,96.0,100.0
985,daisy,100.0,100.0
986,yellow lady's slipper,100.0,100.0
987,corn,48.0,84.0
988,acorn,38.0,92.0
989,rose hip,90.0,96.0
990,horse chestnut seed,46.0,92.0
991,coral fungus,82.0,96.0
992,agaric,86.0,98.0
993,gyromitra,96.0,100.0
994,stinkhorn mushroom,78.0,86.0
995,earth star fungus,84.0,96.0
996,hen of the woods mushroom,92.0,96.0
997,bolete,72.0,92.0
998,corn cob,24.0,92.0
999,toilet paper,30.0,46.0
