class index,class name,top-1,top-5
190,Sealyham Terrier,70.0,94.0
191,Airedale Terrier,56.00000000000001,86.0
192,Cairn Terrier,38.0,80.0
193,Australian Terrier,20.0,80.0
194,Dandie Dinmont Terrier,68.0,96.0
195,Boston Terrier,92.0,100.0
196,Miniature Schnauzer,44.0,88.0
197,Giant Schnauzer,42.0,88.0
198,Standard Schnauzer,48.0,92.0
199,Scottish Terrier,56.00000000000001,84.0
200,Tibetan Terrier,28.000000000000004,86.0
201,Australian Silky Terrier,18.0,54.0
202,Soft-coated Wheaten Terrier,46.0,82.0
203,West Highland White Terrier,66.0,94.0
204,Lhasa Apso,46.0,82.0
205,Flat-Coated Retriever,80.0,96.0
206,Curly-coated Retriever,48.0,94.0
207,Golden Retriever,57.99999999999999,90.0
208,Labrador Retriever,74.0,96.0
209,Chesapeake Bay Retriever,68.0,80.0
210,German Shorthaired Pointer,74.0,88.0
211,Vizsla,44.0,94.0
212,English Setter,52.0,92.0
213,Irish Setter,74.0,90.0
214,Gordon Setter,68.0,86.0
215,Brittany dog,10.0,56.00000000000001
216,Clumber Spaniel,68.0,92.0
217,English Springer Spaniel,70.0,92.0
218,Welsh Springer Spaniel,54.0,96.0
219,Cocker Spaniel,38.0,88.0
220,Sussex Spaniel,44.0,72.0
221,Irish Water Spaniel,50.0,90.0
222,Kuvasz,70.0,96.0
223,Schipperke,80.0,96.0
224,Groenendael dog,44.0,78.0
225,Malinois,50.0,92.0
226,Briard,30.0,60.0
227,Australian Kelpie,38.0,76.0
228,Komondor,60.0,80.0
229,Old English Sheepdog,34.0,72.0
230,Shetland Sheepdog,64.0,74.0
231,collie,6.0,92.0
232,Border Collie,36.0,90.0
233,Bouvier des Flandres dog,48.0,88.0
234,Rottweiler,66.0,92.0
235,German Shepherd Dog,64.0,96.0
236,Dobermann,48.0,86.0
237,Miniature Pinscher,62.0,92.0
238,Greater Swiss Mountain Dog,30.0,76.0
239,Bernese Mountain Dog,57.99999999999999,92.0
240,Appenzeller Sennenhund,12.0,82.0
241,Entlebucher Sennenhund,66.0,100.0
242,Boxer,28.000000000000004,82.0
243,Bullmastiff,70.0,94.0
244,Tibetan Mastiff,50.0,88.0
245,French Bulldog,74.0,94.0
246,Great Dane,36.0,66.0
247,St. Bernard,72.0,84.0
248,husky,8.0,82.0
249,Alaskan Malamute,64.0,90.0
250,Siberian Husky,26.0,80.0
251,Dalmatian,80.0,98.0
252,Affenpinscher,72.0,94.0
253,Basenji,76.0,94.0
254,pug,72.0,96.0
255,Leonberger,94.0,98.0
256,Newfoundland dog,57.99999999999999,88.0
257,Great Pyrenees dog,30.0,80.0
258,Samoyed,80.0,96.0
259,Pomeranian,84.0,96.0
260,Chow Chow,74.0,90.0
261,Keeshond,66.0,92.0
262,brussels griffon,56.00000000000001,82.0
263,Pembroke Welsh Corgi,62.0,82.0
264,Cardigan Welsh Corgi,38.0,76.0
265,Toy Poodle,38.0,82.0
266,Miniature Poodle,36.0,82.0
267,Standard Poodle,32.0,82.0
268,Mexican hairless dog (xoloitzcuintli),88.0,98.0
269,grey wolf,12.0,84.0
270,Alaskan tundra wolf,66.0,94.0
271,red wolf or maned wolf,48.0,80.0
272,coyote,34.0,92.0
273,dingo,60.0,84.0
274,dhole,72.0,96.0
275,African wild dog,90.0,100.0
276,hyena,72.0,90.0
277,red fox,50.0,88.0
278,kit fox,22.0,96.0
279,Arctic fox,72.0,90.0
280,grey fox,34.0,86.0
281,tabby cat,54.0,92.0
282,tiger cat,10.0,90.0
283,Persian cat,98.0,100.0
284,Siamese cat,90.0,100.0
285,Egyptian Mau,32.0,78.0
286,cougar,82.0,96.0
287,lynx,66.0,86.0
288,leopard,70.0,100.0
289,snow leopard,88.0,94.0
290,jaguar,44.0,92.0
291,lion,80.0,96.0
292,tiger,86.0,96.0
293,cheetah,90.0,98.0
294,brown bear,86.0,98.0
295,American black bear,80.0,98.0
296,polar bear,78.0,90.0
297,sloth bear,66.0,92.0
